Year,Campus Id,Campus Name,District Id,District Name,County Name,Region Number,Charter School,Alt Ed Type,Alt Ed Campus,Alternate Education,Disciplinary Alt Ed Program,Juvenile Justice Alt Ed,Grade Span,School Type,Composite Academic Progress Percentile  (3 Year Avg),Composite Progress Z-Score (3 Year Avg),Composite Academic Progress Quintile  (3 Year Avg),Math Progress Z-Score (3 Year Avg),Math Progress Z-Score,Math Progress Z-Score standard error,Reading Progress Z-Score (3 Year Avg),Reading Progress Z-Score,Reading Progress Z-Score standard error,TEA Accountability Rating,Smart Score,Spending Index,Spending Score,Cost-Adjusted Core Operating Expenditures Per Student (3 Year Avg),Cost-Adjusted Core Operating Expenditures Per Student,Core Operating Expenditures Per Student (not cost adjusted),Core Operating Expenditures (not cost adjusted),Core Payroll Expenditures (not cost adjusted),Campus Cost Deflator,Total Operating Expenditures Per Student (not cost adjusted),Urban County Indicator,ACS Comparable Wage Index,High School Comparable Wage Index,Enrollment,% Economically Disadvantaged,% LEP,% Special Education,% Student Mobility,% Students Early Childhood Education,% Students Pre-Kindergarten,% Students Kindergarten,% Students Grade 1,% Students Grade 2,% Students Grade 3,% Students Grade 4,% Students Grade 5,% Students Grade 6,% Students Grade 7,% Students Grade 8,% Students Grade 9,% Students Grade 10,% Students Grade 11,% Students Grade 12,% Students Bilingual/ESL,% Students Career and Technical,% Students Gifted and Talented,% Students Asian,% Students White,% Students African American,% Students Hispanic,% Students Pacific Islander,% Students American Indian,% Students Two Or More Races,% Students At-Risk,Fiscal Peers Group,Number of Campus Matches,Latitude,Longitude
2018,001902001,CAYUGA H S,001902,CAYUGA ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,64,0.085000001,4,0.12019434,0.3039521,0.13500719,0.049429331,0.079428375,0.083600245,Met Standard,3.5,Average Spending,3,9302.666667,9193,7601,1276991,1208381,1.221337741,9076,0,0.812,0.879,168,36.900002,0,16.1,17.200001,0,0,0,0,0,0,0,0,0,0,0,27.4,21.4,26.799999,24.4,0,95.199997,13.7,1.8,84.5,3,4.1999998,0,0,6.5,46.400002,0,32,31.9222,-95.9247
2018,001902041,CAYUGA MIDDLE,001902,CAYUGA ISD,ANDERSON,7,N, ,N,N,N,N,06-08,M,17,-0.083999999,1,-0.15882127,-0.16765657,0.12257119,-0.009122712,-0.036215194,0.079970054,Met Standard,1.5,High Spending,2,8364,8124,6677,974886,954527,1.221337741,6989,0,0.812,0.879,146,47.299999,0.69999999,17.1,12.2,0,0,0,0,0,0,0,0,30.799999,32.900002,36.299999,0,0,0,0,0.69999999,0,11.6,0.69999999,82.199997,2.7,8.8999996,0,0,5.5,44.5,0,40,31.9222,-95.9247
2018,001902103,CAYUGA EL,001902,CAYUGA ISD,ANDERSON,7,N, ,N,N,N,N,PK - 05,E,79,0.134,4,0.11961743,0.17191267,0.12707213,0.14752872,0.16975975,0.084730819,Met Standard,3,High Spending,2,7155.666667,6772,5571,1454155,1415934,1.221337741,5577,0,0.812,0.879,261,44.400002,0,11.9,11.2,0,3.8,10.7,17.200001,15.7,19.5,19.5,13.4,0,0,0,0,0,0,0,0,0,6.5,0.40000001,85.400002,4.1999998,7.3000002,0,0,2.7,31.799999,0,40,31.9222,-95.9247
2018,001903001,ELKHART H S,001903,ELKHART ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,48,0.035999998,3,-0.003030305,0.28049502,0.12423307,0.074043564,0.028203132,0.075301878,Met Standard,3,Average Spending,3,7893,8440,7078,2710793,2357234,1.221337741,8435,0,0.812,0.879,383,46.200001,0,12,14.2,0,0,0,0,0,0,0,0,0,0,0,30.5,27.9,23,18.5,0,89,2.9000001,1,81.699997,2.9000001,9.3999996,0.5,0,4.4000001,44.900002,0,40,31.628,-95.5819
2018,001903041,ELKHART MIDDLE,001903,ELKHART ISD,ANDERSON,7,N, ,N,N,N,N,06-08,M,19,-0.074000001,1,-0.16670069,-0.19179274,0.11732239,0.018128883,0.034423772,0.074082866,Met Standard,2,Average Spending,3,7366,7623,6268,1736183,1696545,1.221337741,6361,0,0.812,0.879,277,55.200001,0,9.6999998,15.2,0,0,0,0,0,0,0,0,31,33.200001,35.700001,0,0,0,0,0,20.200001,4.6999998,1.4,78,5.8000002,12.6,0,0,2.2,13.4,0,40,31.6279,-95.5786
2018,001903101,ELKHART EL,001903,ELKHART ISD,ANDERSON,7,N, ,N,N,N,N,EE - 02,E,,,,,,,,,,Met Standard,,High Spending,2,6981,7281,6001,2016338,1942734,1.221337741,6025,0,0.812,0.879,336,61.900002,3.9000001,8.3000002,11.3,0.30000001,19.299999,26.5,28.6,25.299999,0,0,0,0,0,0,0,0,0,0,3.3,0,0.60000002,0,79.800003,3.9000001,10.4,0,0.89999998,5.0999999,22.299999,0,40,31.6279,-95.5786
2018,001903102,ELKHART INT,001903,ELKHART ISD,ANDERSON,7,N, ,N,N,N,N,03-05,E,92,0.199,5,0.30885583,0.22376595,0.12041187,0.088980064,0.081669942,0.077670097,Met Standard,3.5,High Spending,2,8232,8596,7087,1679583,1616120,1.221337741,7127,0,0.812,0.879,237,58.599998,2.5,11.8,12.5,0,0,0,0,0,36.299999,30.799999,32.900002,0,0,0,0,0,0,0,2.5,0,6.3000002,0,79.699997,3.4000001,13.1,0,0,3.8,33.299999,0,40,31.6279,-95.5786
2018,001904001,FRANKSTON H S,001904,FRANKSTON ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,69,0.101,4,0.12705992,0.083819129,0.12961343,0.074187003,0.030302316,0.07973291,Met Standard,3,High Spending,2,9274,9130,7661,1907547,1687740,1.216717295,9786,0,0.812,0.879,249,42.200001,0.80000001,7.1999998,16.5,0,0,0,0,0,0,0,0,0,0,0,24.9,23.299999,26.1,25.700001,0.80000001,89.199997,9.6000004,0.80000001,78.300003,8.8000002,10,0,0.80000001,1.2,32.099998,0,40,32.0623,-95.5042
2018,001904041,FRANKSTON MIDDLE,001904,FRANKSTON ISD,ANDERSON,7,N, ,N,N,N,N,06-08,M,36,-0.006,2,-0.000734681,-0.006278236,0.11899619,-0.012104505,-0.08874961,0.076060824,Met Standard,3.5,Very Low Spending,5,6342.666667,5698,4722,1034194,985816,1.216717295,4760,0,0.812,0.879,219,52.099998,1.8,11,17.700001,0,0,0,0,0,0,0,0,29.700001,35.200001,35.200001,0,0,0,0,1.8,0,12.8,0,80.800003,9.6000004,6.8000002,0,0.5,2.3,40.200001,0,40,32.0623,-95.5042
2018,001904102,FRANKSTON EL,001904,FRANKSTON ISD,ANDERSON,7,N, ,N,N,N,N,EE - 05,E,91,0.189,5,0.20161654,0.18588315,0.12227716,0.17681344,0.14240462,0.07966055,Met Standard,4.5,Low Spending,4,6329.666667,6727,5559,2245964,2177281,1.216717295,5559,0,0.812,0.879,404,61.599998,3.2,11.4,13,1,9.1999998,12.1,13.4,12.9,19.799999,17.299999,14.4,0,0,0,0,0,0,0,3.2,0,5,1.5,74.800003,8.1999998,9.6999998,0,0,5.9000001,42.299999,0,40,32.0623,-95.5042
2018,001906002,NECHES H S,001906,NECHES ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,13,-0.105,1,-0.16292176,-0.38818106,0.15598187,-0.047967244,0.062147677,0.091917843,Met Standard,2,Average Spending,3,11593.33333,11596,9651,1013406,922597,1.221337741,12259,0,0.812,0.879,105,40,0,14.3,15.1,0,0,0,0,0,0,0,0,0,0,0,21.9,31.4,24.799999,21.9,0,94.300003,6.6999998,1,77.099998,11.4,8.6000004,0,0,1.9,31.4,0,25,31.8749,-95.4758
2018,001906102,NECHES EL,001906,NECHES ISD,ANDERSON,7,N, ,N,N,N,N,PK - 08,E,59,0.071000002,3,0.13543522,-0.026075136,0.13444087,0.00713461,-0.041483928,0.085882321,Met Standard,3,Average Spending,3,7365.666667,7646,6325,1612930,1521428,1.221337741,7078,0,0.812,0.879,255,50.599998,2,7.8000002,12.1,0,6.6999998,7.8000002,13.7,9.3999996,12.9,7.8000002,9.3999996,10.2,11.4,10.6,0,0,0,0,2,22,7.8000002,0,76.099998,7.0999999,14.5,0,0.40000001,2,26.299999,0,40,31.8716,-95.492
