Zipcode,City,State,AreaCode,County,Latitude,Longitude
78201,San Antonio,TX,210,Bexar,29.472,-98.537
78202,San Antonio,TX,210,Bexar,29.422,-98.466
78203,San Antonio,TX,210,Bexar,29.415,-98.462
78204,San Antonio,TX,210,Bexar,29.397,-98.5
78205,San Antonio,TX,210,Bexar,29.424,-98.487
78206,San Antonio,TX,210,Bexar,29.417,-98.499
78207,San Antonio,TX,210,Bexar,29.422,-98.523
78208,San Antonio,TX,210,Bexar,29.438,-98.457
78209,San Antonio,TX,210,Bexar,29.488,-98.457
78210,San Antonio,TX,210,Bexar,29.399,-98.47
78211,San Antonio,TX,210,Bexar,29.357,-98.56
78212,San Antonio,TX,210,Bexar,29.462,-98.494
78213,San Antonio,TX,210,Bexar,29.512,-98.524
78214,San Antonio,TX,210,Bexar,29.366,-98.487
78215,San Antonio,TX,210,Bexar,29.438,-98.481
78216,San Antonio,TX,210,Bexar,29.534,-98.489
78217,San Antonio,TX,210,Bexar,29.544,-98.42
78218,San Antonio,TX,210,Bexar,29.501,-98.398
78219,San Antonio,TX,210,Bexar,29.44,-98.395
78220,San Antonio,TX,210,Bexar,29.411,-98.404
78221,San Antonio,TX,210,Bexar,29.319,-98.496
78222,San Antonio,TX,210,Bexar,29.387,-98.392
78223,San Antonio,TX,210,Bexar,29.321,-98.41
78224,San Antonio,TX,210,Bexar,29.312,-98.54
78225,San Antonio,TX,210,Bexar,29.389,-98.531
78226,San Antonio,TX,210,Bexar,29.396,-98.547
78227,San Antonio,TX,210,Bexar,29.415,-98.636
78228,San Antonio,TX,210,Bexar,29.46,-98.575
78229,San Antonio,TX,210,Bexar,29.501,-98.574
78230,San Antonio,TX,210,Bexar,29.54,-98.552
78231,San Antonio,TX,210,Bexar,29.577,-98.539
78232,San Antonio,TX,210,Bexar,29.585,-98.475
78233,San Antonio,TX,210,Bexar,29.554,-98.362
78234,San Antonio,TX,210,Bexar,29.461,-98.439
78235,San Antonio,TX,210,Bexar,29.342,-98.443
78236,San Antonio,TX,210,Bexar,29.385,-98.612
78237,San Antonio,TX,210,Bexar,29.423,-98.566
78238,San Antonio,TX,210,Bexar,29.474,-98.62
78239,San Antonio,TX,210,Bexar,29.511,-98.368
78240,San Antonio,TX,210,Bexar,29.515,-98.611
78241,San Antonio,TX,210,Bexar,29.377,-98.547
78242,San Antonio,TX,210,Bexar,29.354,-98.61
78243,San Antonio,TX,210,Bexar,29.381,-98.58
78244,San Antonio,TX,210,Bexar,29.48,-98.353
78245,San Antonio,TX,210,Bexar,29.407,-98.735
78246,San Antonio,TX,210,Bexar,29.535,-98.486
78247,San Antonio,TX,210,Bexar,29.588,-98.402
78248,San Antonio,TX,210,Bexar,29.584,-98.523
78249,San Antonio,TX,210,Bexar,29.567,-98.606
78250,San Antonio,TX,210,Bexar,29.508,-98.665
78251,San Antonio,TX,210,Bexar,29.46,-98.669
78252,San Antonio,TX,210,Bexar,29.349,-98.695
78253,San Antonio,TX,210,Bexar,29.459,-98.747
78254,San Antonio,TX,210,Bexar,29.536,-98.724
78255,San Antonio,TX,210,Bexar,29.644,-98.664
78256,San Antonio,TX,210,Bexar,29.623,-98.625
78257,San Antonio,TX,210,Bexar,29.657,-98.617
78258,San Antonio,TX,210,Bexar,29.665,-98.502
78259,San Antonio,TX,210,Bexar,29.627,-98.446
78260,San Antonio,TX,210,Bexar,29.707,-98.483
78261,San Antonio,TX,210,Bexar,29.706,-98.399
78262,San Antonio,TX,210,Bexar,29.464,-98.492
78263,San Antonio,TX,210,Bexar,29.354,-98.332
78264,San Antonio,TX,210,Bexar,29.193,-98.517
78265,San Antonio,TX,210,Bexar,29.537,-98.421
78266,San Antonio,TX,830,Comal,29.63,-98.306
78268,San Antonio,TX,210,Bexar,29.47,-98.617
78269,San Antonio,TX,210,Bexar,29.568,-98.616
78270,San Antonio,TX,210,Bexar,29.588,-98.474
78275,San Antonio,TX,210,Bexar,29.54,-98.421
78278,San Antonio,TX,210,Bexar,29.563,-98.562
78280,San Antonio,TX,210,Bexar,29.562,-98.356
78283,San Antonio,TX,210,Bexar,29.411,-98.504
78284,San Antonio,TX,210,Bexar,29.473,-98.519
78285,San Antonio,TX,210,Bexar,29.422,-98.526
78286,San Antonio,TX,210,Bexar,29.537,-98.412
78287,San Antonio,TX,210,Bexar,29.49,-98.458
78288,San Antonio,TX,210,Bexar,29.426,-98.492
78289,San Antonio,TX,210,Bexar,29.532,-98.412
78291,San Antonio,TX,210,Bexar,29.426,-98.488
78292,San Antonio,TX,210,Bexar,29.426,-98.486
78293,San Antonio,TX,210,Bexar,29.425,-98.487
78294,San Antonio,TX,210,Bexar,29.427,-98.486
78295,San Antonio,TX,210,Bexar,29.428,-98.488
78296,San Antonio,TX,210,Bexar,29.428,-98.488
78297,San Antonio,TX,210,Bexar,29.425,-98.486
78298,San Antonio,TX,210,Bexar,29.457,-98.502
