RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
92271,78130,New Braunfels,TX,San Antonio-New Braunfels,Comal County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159235,160096,160098,161040,161441,162960,163312,163081,159660,156684,154940,157467,159861,159559,156548,152181,149399,147951,147897,148224,149282,150819,152407,152913,154095,155686,157363,158430,159290,159995,160432,161077,161908,162835,163430,163841,164009,164310,164733,165526,166185,166753,167077,167581,167949,168566,169207,169755,169802,170093,170838,172174,173266,174253,175212,176042,176621,176844,176332,175797,175215,175543,176056,176573,176974,177061,177256,177362,177773,177667,177381,176630,175864,175157,174784,174641,174858,174861,175173,175022,175199,175183,175470,175379,176244,176398,176657,175971,175266,174493,173522,172286,171741,171007,170868,169947,169217,168878,168875,169161,169189,169095,169014,169195,169335,169590,169918,170559,170752,170756,170950,171803,172588,173254,173773,174114,174726,175214,176200,176422,176537,176717,177264,178470,179407,180099,180379,180633,181144,181430,181540,181378,181544,182518,184109,185814,187474,188869,190340,191427,192975,194395,195803,196693,197760,198901,200370,201996,203337,204584,205090,206132,206594,207547,207975,208551,208675,209019,209873,211119,212443,213150,213836,214732,216262,217812,218771,219502,220237,221520,222870,223931,224443,224943,225566,227257,228722,230138,230259,230301,230214,230810,231707,232380,232661,232587,232755,233034,233191,233584,234279,234771,234790,234553,234867,235641,237434,238472,239914,239955
92341,78245,San Antonio,TX,San Antonio-New Braunfels,Bexar County,47,100978,100731,100679,100603,100540,100590,100707,100864,100871,100899,100866,100986,101058,101213,101340,101514,101791,101917,102105,102126,102225,103020,103756,104356,104015,103802,103738,103756,103746,103745,103934,104151,104461,104600,104858,105224,105728,106105,106472,106986,107546,108052,108396,108799,109216,109563,109746,109680,109675,108683,107765,106771,106914,107032,107220,107257,107343,107208,107002,106618,106398,106280,106386,106295,106218,105976,105916,105845,105799,105818,105811,106013,106260,106472,106667,107038,107702,108438,109078,109690,110173,110404,110386,110260,110292,110622,111099,111585,111965,112166,112204,111895,111997,112934,114726,116176,117636,118520,119585,120284,120690,121669,122482,123744,124413,124855,125222,125395,125528,125646,126037,126299,126637,126911,127551,127689,127850,127760,127984,128017,128265,128909,129529,130451,130958,131668,132471,133827,135247,135887,135789,135772,136350,137456,138561,139658,140748,141762,142563,142948,143515,143300,142994,142068,141769,141575,141462,141122,140243,139238,138222,137683,137270,136739,136064,135539,135105,134695,133978,133244,132411,132049,132037,132342,132479,132694,132836,133085,133363,133692,133822,133782,133669,133307,132527,131357,130335,129446,128490,128015,127083,126339,124923,124618,124612,124931,124728,124497,123937,123457,123391,124269,125328,126214,126640,126732,126497,126005,125778,126003,126281,126911,127391,127876,128107,128440,129311,130413,131648,132833,133681,134208,134489,135093,135976,136879,137626,138501,139195,139730,139881,140236,140811,141676,142585,143217,144145,144812,145520,145778,146457,147331,148415,149252,150083,150546,151262,152011,152457,153034,153949,155297,156285,156575,156826,157138,157447,158103,159198,161174,162995,164247,164672,164958,165422,166059,166757,167443,168298,169200,169547,169583,169607,170585,171615,172854,173667,174540,175205,175433,175998,176431,177828,178885,180357,180971,181728,182258,182952,183597,184186,184985,185698,186411,186460
92336,78240,San Antonio,TX,San Antonio-New Braunfels,Bexar County,153,105809,105650,105602,105532,105570,105690,105852,105877,105931,106016,106071,106040,105945,105824,105841,105873,105951,105924,106021,106122,106116,106752,107326,107944,107690,107555,107492,107682,107758,107699,107596,107593,107715,107769,107946,108284,108833,109372,109899,110329,110672,110952,111260,111713,112178,112559,112857,113109,113256,112104,110771,109591,109683,109848,109926,109913,109969,109978,109942,109777,109555,109352,109348,109452,109650,109715,109844,109893,110009,110020,110064,110206,110500,110830,111214,111715,112444,113056,113488,113855,114086,114248,114240,114236,114384,114636,115039,115457,116025,116461,116771,116677,116910,117859,119506,120684,121865,122621,123721,124431,124839,125611,126080,126746,126812,126762,126985,127211,127643,127709,127572,127440,127397,127933,128500,128986,129275,129629,130196,130803,131419,132340,133522,134655,135706,136634,137749,138935,140319,141165,141373,141044,140987,141881,143183,144694,145550,146263,147083,147959,148706,148229,147502,146636,146482,146359,146165,145910,145569,145354,145221,145104,144944,144583,144104,143806,143569,143427,142992,142578,142069,141769,141666,141671,141651,141577,141594,141830,142202,142548,142547,142491,142522,142472,141865,140817,139907,139274,138601,138301,137773,137572,136723,136393,135936,136014,135870,135899,135325,135040,135005,135639,136225,136812,137198,137217,137066,136689,136856,137528,138430,139247,139575,139785,139782,140032,140815,141889,143296,144533,145634,145958,146146,146516,147321,148141,148831,149962,150672,151376,151324,151603,152083,153036,154206,155001,156140,156959,157929,158354,159152,160065,161239,162324,163450,164245,165199,166077,166446,167011,168154,169898,171207,171649,171762,171846,172000,172798,174087,176300,178324,179676,180204,180482,181057,181721,182435,183037,183692,184507,184776,184887,184964,186084,187139,188347,189257,190070,190819,190719,191054,191138,192542,193556,195094,195736,196598,197164,197739,198340,198713,199317,199597,200230,200246
92345,78249,San Antonio,TX,San Antonio-New Braunfels,Bexar County,381,117740,117543,117548,117642,117819,118094,118342,118504,118757,119003,119245,119254,119234,119184,119311,119306,119308,119182,119294,119370,119478,120246,121109,121891,121851,121793,121902,122117,122304,122375,122408,122495,122597,122550,122607,122807,123222,123601,123919,124213,124516,124783,125022,125377,125881,126410,126759,126946,127033,125948,124880,123896,124097,124252,124360,124342,124308,124188,124091,123848,123498,123207,122992,122910,122901,122824,122938,123005,123229,123283,123228,123372,123728,124146,124558,125022,125766,126405,126882,127362,127699,127983,127931,127816,127846,128023,128464,128901,129508,130037,130488,130448,130525,131473,133623,135287,136564,137164,138054,138716,139047,139976,140535,141401,141647,141922,142062,142369,142933,143406,143758,144110,144585,145121,145768,146232,146484,146665,147096,147723,148314,149122,150285,151658,152855,154161,155327,156681,158027,158829,158921,158590,158560,159619,160832,162342,163541,164620,165653,166380,167253,166890,166095,164925,164590,164405,164187,163907,163583,163371,163183,163084,162847,162560,161983,161668,161302,161012,160474,160099,159530,159125,158803,158839,158833,158762,158789,158897,159199,159478,159616,159498,159381,159187,158621,157579,156653,156081,155505,155418,155067,155096,154389,154150,153850,153868,153831,153907,153629,153323,153418,154216,155146,156001,156602,156737,156674,156364,156661,157421,158196,159081,159505,159903,160063,160266,161234,162306,163758,164926,166036,166580,167000,167465,168394,169257,170087,171176,171801,172268,171885,171968,172342,173440,174718,175594,176818,177802,178949,179461,180350,181496,182991,184003,184907,185273,186171,187057,187379,187960,189260,191229,192490,192935,193034,193243,193193,193873,195163,197426,199554,200985,201471,201811,202276,203092,203788,204572,205508,206609,206977,207053,207172,208571,209915,211514,212510,213453,214105,214159,214638,214815,216266,217323,219095,219753,220561,221063,221573,221984,222220,222945,223531,224285,224169
92350,78254,San Antonio,TX,San Antonio-New Braunfels,Bexar County,389,128487,128363,128211,128046,127939,128066,128229,128320,128359,128257,128228,128172,127915,127779,127573,127727,127804,127856,127903,127891,128108,128881,129487,129970,129689,129320,129005,128751,128681,128530,128440,128517,128700,128847,129123,129469,130050,130681,131460,132227,132802,133286,133797,134473,135034,135370,135541,135645,135826,134671,133387,132157,132315,132461,132481,132385,132432,132477,132416,132214,131931,131781,131923,132178,132524,132554,132753,132817,132999,132993,132992,133211,133596,134115,134538,134902,135377,135903,136410,136911,137209,137442,137369,137241,137291,137535,138042,138555,139255,139725,139961,139672,139805,140819,142892,144419,145851,146512,147582,148464,149022,150167,150835,152029,152360,152708,153123,153755,154399,154904,155329,155734,156061,156560,157227,157654,157868,157972,158382,158774,159236,159827,160815,161798,162743,163803,165064,166401,167619,168106,167847,167065,166696,167434,168579,169951,170968,171765,172397,172885,173445,172814,171868,170595,170291,170079,169847,169473,168853,168446,168170,168038,167844,167469,166899,166484,166067,165812,165321,164988,164226,163718,163439,163772,164035,164335,164623,164986,165320,165613,165637,165551,165384,165176,164297,163025,162011,161563,161157,161173,160793,160639,159842,159559,159250,159191,159062,159111,158782,158617,158915,159917,160947,161903,162547,162709,162514,162041,162108,162677,163446,164489,165192,165815,166020,166194,167028,168156,169878,171405,172725,173432,173980,174634,175644,176577,177331,178378,179012,179511,179461,179714,180270,181180,182318,183067,184076,184728,185647,185944,186884,188001,189499,190475,191401,191812,192659,193575,194041,194784,196024,197916,199014,199123,199327,199726,200174,200724,201805,203730,205516,206643,207002,207260,207770,208430,209066,209632,210397,211235,211377,211242,211205,212436,213583,214907,215613,216342,216785,216743,217024,217103,218366,219385,220902,221450,222150,222639,223173,223706,224018,224757,225382,226316,226363
92347,78251,San Antonio,TX,San Antonio-New Braunfels,Bexar County,450,107457,107004,106931,106971,107130,107316,107495,107509,107354,107113,107023,106977,106923,106873,106758,106673,106592,106544,106558,106559,106854,107697,108475,109041,108911,108948,109045,109234,109294,109364,109383,109499,109582,109744,110085,110553,111132,111607,112208,112897,113568,114150,114751,115447,116140,116713,117208,117501,117774,116818,115712,114489,114394,114319,114230,114053,114051,113859,113618,113167,112845,112551,112380,112250,112234,112156,112103,112006,111979,112044,112130,112392,112758,113218,113773,114408,115162,115759,116243,116862,117432,117773,117715,117552,117542,117669,117968,118399,118993,119468,119769,119584,119564,120458,122249,123835,125240,125961,127002,127557,128041,128839,129518,130482,130927,131328,131760,132047,132436,132766,133176,133473,133811,134255,134726,134772,134655,134532,134826,135167,135527,135900,136541,137423,138068,138796,139537,140726,142059,142930,143059,142727,142721,143770,145024,146394,147329,148147,149032,149760,150545,150045,149258,148233,147912,147607,147260,146778,146053,145246,144631,144359,144060,143551,142696,142084,141520,141124,140633,140166,139566,139132,138999,139134,139184,139168,139218,139615,140016,140449,140417,140348,140301,140120,139536,138461,137585,136815,135996,135641,135295,135293,134699,134481,134194,134212,134087,134214,133854,133684,133698,134486,135329,136250,136708,136848,136585,136126,136001,136308,136923,137799,138376,138869,138948,139098,139757,140658,142047,143255,144323,144776,145057,145404,146145,146848,147412,148187,148737,149317,149414,149787,150341,151201,152242,152937,153973,154739,155750,156160,156955,157885,159144,160267,161350,162117,162980,163884,164228,164848,165832,167343,168235,168348,168456,168700,168870,169356,170281,172139,173858,175029,175382,175700,176149,176800,177420,178167,179097,179979,180234,180186,180253,181328,182294,183500,184224,185093,185630,185806,186336,186845,188401,189660,191350,191929,192598,193033,193659,194308,194854,195733,196387,197156,197111
92349,78253,San Antonio,TX,San Antonio-New Braunfels,Bexar County,544,156543,157116,157745,158086,158859,159286,160183,160396,160653,160697,160745,160674,160344,159851,158996,158165,156753,156076,155569,155952,156091,156613,157242,157934,158115,158529,159111,159966,160790,161492,162068,162302,162428,162481,162878,163366,164067,164701,165618,166520,167390,168042,168455,169134,170108,171090,171833,172324,172699,171342,169747,168223,168506,168666,169094,168876,168811,168245,167857,167385,166942,166398,165751,165116,164858,164729,164667,164531,164165,164005,163860,164180,164712,165341,165904,166414,166898,167306,167731,168558,169499,169970,169717,169202,168979,169579,170829,172355,173695,174451,174800,174605,174661,175769,178262,180307,182649,183522,184737,185461,186549,188763,190454,192454,193685,194810,195790,196443,196959,197148,197232,197252,197633,198005,198635,198375,197819,196954,196976,197198,198086,199119,200558,201732,202746,203745,205084,207005,209478,211129,211405,210786,210168,211000,212398,214690,216383,217772,218450,218783,219553,219020,218181,216694,216099,215727,215072,214385,213259,212275,211539,211278,211054,210795,210024,209477,208916,208721,208203,207817,207510,207575,207705,207958,207758,207691,207709,208265,208787,209235,209274,209153,208980,208811,207930,206539,205329,204684,204184,204058,203452,202891,201876,201788,201685,201879,201654,201667,201101,200857,201033,202065,203100,204095,204696,204911,205188,204965,205213,205601,206318,207665,208461,209225,209265,209659,210865,212224,213489,214468,215427,216355,216993,217673,218658,219607,220391,221425,222183,222745,222153,221784,221708,222408,223447,224215,225425,226335,227371,227730,228582,229398,230549,230966,231627,231908,232835,233717,234054,234569,235674,237464,238514,238595,238600,238756,238766,239097,239942,241862,243709,244858,245130,245184,245502,246040,246472,246950,247600,248478,248574,248392,248276,249480,250530,251840,252531,253252,253513,253739,254243,254556,255665,256615,258163,258663,259237,259681,260237,260802,261079,261628,262234,263018,263034
92305,78209,San Antonio,TX,San Antonio-New Braunfels,Bexar County,647,206380,207129,207507,207457,206433,205193,204259,205218,206597,209783,211057,212891,212724,211996,208175,206999,207873,213442,217145,219311,219171,218517,218229,218497,218695,219585,220011,222566,225513,228042,229491,229224,229396,228829,229039,229406,230648,233284,236404,237464,236326,234560,233749,233810,233610,233415,233467,233631,233550,231495,229734,227640,228097,228473,229646,229733,230244,230842,231621,231611,231270,231016,230952,231255,231995,231948,230340,228301,227624,228301,228578,228510,228386,229187,230054,230379,231298,232226,233414,234248,234333,234466,233976,233619,233334,232899,233503,235060,237251,239341,240465,240694,240637,242794,246653,249566,251933,252647,254546,254850,255205,255738,256309,257135,257276,257483,258275,259307,260691,261422,262162,263145,264767,266364,268574,270628,272416,273799,275073,275956,276191,276866,279130,281612,283923,285892,288100,290430,292978,294378,294225,293360,293223,295233,297432,299990,301920,303777,305104,305834,306918,306329,306022,304929,305578,306106,307022,307278,305509,303122,301491,301480,301157,299627,297377,295882,294639,293510,291876,290932,290989,291842,293180,294168,294709,294609,294671,294896,295589,296306,297173,297539,298297,298937,298845,297209,295090,292789,290833,289795,289440,289840,289131,288946,287855,287289,286596,286759,286614,286714,287588,289363,291671,293524,295396,296185,296218,295536,295954,297614,299733,302360,304481,306477,307324,308160,309889,311956,313656,315090,316440,318068,319354,320675,323123,325793,328531,331335,333647,335525,335897,336520,338075,341000,343727,345277,348076,350266,352916,353484,354901,357128,360090,361142,361911,362368,365096,367463,368336,369274,371731,375221,378314,379181,377957,376673,375755,377612,380728,384986,389055,391739,393316,394361,395937,397460,399598,400904,402464,403150,403242,402308,401720,403075,404624,406145,406491,406647,406901,405687,405770,405829,408420,411176,414870,416771,418144,418439,419318,419168,418882,418707,419530,420231,419831
92319,78223,San Antonio,TX,San Antonio-New Braunfels,Bexar County,669,67933,67746,67784,67833,67892,67807,67728,67782,67793,67963,67982,68081,68018,68042,68102,68252,68566,68887,69228,69387,69498,70128,70777,71371,71246,71144,71162,71234,71395,71516,71780,71812,71976,72103,72476,72878,73410,73858,74251,74590,74958,75298,75700,76193,76711,77182,77551,77773,77747,77088,76394,75860,76030,76306,76460,76469,76303,76243,76049,76038,75793,75604,75395,75371,75422,75382,75365,75145,74955,74838,74965,75066,75158,75146,75236,75232,75419,75611,75908,76254,76374,76504,76474,76539,76628,76935,77364,77821,78411,78924,79311,79360,79747,80819,82336,83447,84296,84529,85329,85931,86839,87927,88886,89715,90128,90475,91099,91635,92098,92355,92205,91934,91635,91550,91815,91892,91794,91936,92245,92599,92719,92778,93407,94098,95220,96207,97116,97906,99059,99866,100308,100012,99886,100395,101183,102178,102612,103052,103325,103700,103836,103526,103084,103041,103369,103671,103391,103092,102683,102496,101998,101749,101237,100436,99215,98272,97949,97780,97279,96766,96085,96020,95971,96255,96336,96040,95464,95020,95133,95512,95621,95632,95808,95957,95694,94804,93960,93278,92666,92374,91797,91467,90684,90484,89999,90058,89852,90020,89676,89295,89053,88985,89298,89477,89700,89561,89489,89524,89784,90166,90315,90555,90767,90714,90596,90726,91171,91623,91486,91518,91746,92367,92971,93301,93409,93502,93864,94743,95398,95875,95663,95773,96040,96756,97319,97374,98041,98676,99731,100230,101170,102243,103370,103921,104775,105278,106401,107012,107471,108137,109171,110677,111672,112352,112600,112715,112921,113725,114948,116855,118585,119855,120334,120840,121898,123087,124450,124607,124909,125255,126075,126339,126488,127691,129288,130908,131787,132442,133019,132989,133262,133421,134816,135932,137570,138573,139569,140282,140844,141324,141737,142381,142359,142321,141835
92324,78228,San Antonio,TX,San Antonio-New Braunfels,Bexar County,736,64058,63954,63959,64009,64210,64397,64579,64704,64788,64815,64773,64701,64563,64436,64419,64412,64543,64628,64714,64671,64606,65120,65612,66170,66167,66259,66299,66506,66689,66892,67051,67091,67120,67182,67408,67720,67938,68173,68470,68855,69377,69828,70368,70767,71171,71414,71599,71598,71567,70917,70376,69860,69995,70032,70058,69925,69859,69769,69595,69350,69013,68674,68439,68118,68107,68041,68059,67854,67618,67589,67694,67951,68159,68439,68756,69153,69528,69847,70223,70714,71128,71378,71328,71231,71039,71071,71107,71267,71617,72056,72370,72208,72108,72605,73712,74585,75403,75753,76459,76964,77567,78314,78684,79106,79085,79502,79972,80429,80755,81003,81380,81556,81909,82363,83079,83495,83923,84216,84485,84552,84511,84657,85128,85793,86514,87224,87902,88587,89148,89420,89354,89348,89628,90397,91037,91665,92236,92725,93195,93450,93928,93789,93540,93206,93388,93607,93625,93543,93017,92636,92264,92204,92005,91459,90859,90478,90297,90218,89962,89966,89663,89637,89698,90078,90292,90126,89869,89589,89534,89660,89511,89412,89355,89239,88739,88015,87448,86925,86371,86032,85709,85129,84246,83567,83119,82989,82830,82767,82180,81473,81158,81419,82045,82538,82939,83120,82953,82691,82575,82691,83026,83528,84139,84363,84554,84698,84975,85178,85187,85610,86047,86802,87562,88290,88871,89242,89322,89661,89886,90419,90466,90675,91118,91949,92813,93319,94341,95101,95920,96312,97147,98189,99332,100087,100935,101587,102526,103499,104112,104960,106324,108171,109807,110577,110093,109733,109298,110261,111310,113046,114713,116202,117196,117911,118520,119238,120630,121316,122193,122782,123783,124325,124469,125474,126610,127998,128952,130006,130871,131026,131478,131898,133333,134381,135785,136695,137929,139282,140369,141001,141379,142136,142470,142644,142258
